role_id	role_name	server
185977	Solbash	10101
261105	Xform	10201
146133	Voinkz	10101
208473	Zosimus	10002
107919	Miles	10101
112096	matt	10201
412500	Tysialee	10102
109515	Neko	10201
109841	Jabberwocky	10201
109186	Valor	10201
437488	Java	10701
396291	rupii	10201
112617	Slap	10101
240824	Henz	10201
121080	Naruto	10601
111191	Kinpadel	10901
114833	Lhula	10201
342860	iAlbert	10201
110908	Alazar	10601
723542	君莫哭	10101
361714	Zsun	10201
110536	Verle	10601
460038	Rayx	10701
111539	maury	10201
211123	AdeLight	10201
235726	BassturdKill	10901
812343	Rythlock	10201
109597	megumin	10201
107929	Essantra	10101
398673	Rhin	10101
112272	wei	10201
151593	Basil	10101
157200	Rizym	10201
398993	Crazyazn	10901
117838	TipeX	10201
109525	WinDRunneR	10201
110133	Yuki	10101
303763	Incarnaden	10101
383166	VaniVediVeci	10201
107918	Aeon	10101
744423	IamNoob	10201
574557	JX999	10201
107964	Priestitute	10101
107923	SouL	10101
352498	SharkbroHD	10101
112683	Hammurabi	10101
399956	Knaught	10102
141386	Rainz	10101
174842	LA92	10601
109676	DyNaMiTe	10601
109240	SkyKim	10101
120758	ishy	10601
895993	Azka	10201
123368	Coyote	10101
120938	Raider	10101
301457	Ears	10101
586634	Puika	10701
387885	Roggaa	10601
110113	Remedy	10101
359833	Vexic	10101
113769	Xaerkahn	10201
129163	jukka	10201
110733	Barette	10601
877438	Despair	10201
121880	Rhea	10901
120993	RiceIsLife	10101
114434	DPS	10901
109116	Grommash	10201
617543	SirHAVOC	10002
791620	novoselica	10002
109177	FreStyle	10201
592378	iBear	10102
295909	Gekijin	10101
117724	Leonidas	10101
291093	Doreamon	10101
149354	Classic	10901
113622	xAislinnx	10101
107886	TrapLord	10901
404282	IcyTeaLemon	10701
214300	Willam	10201
108140	ChosenOone	10601
109937	TukangSuntik	10201
571798	Pisci	10101
109486	PoofyPanda	10901
552551	AAC	10201
823344	ObezKedi	10701
144823	Polydoros	10901
375333	Fly	10101
110473	DaVilla	10002
399019	Healya	10901
150107	Maybe	10101
111637	KewilisH	10601
335520	Eu4ia	10101
113690	Blakenstine	10101
160968	Alfie	10002
420512	Pooltea	10701
487811	Kato	10102
457208	Esdian	10201
561095	potatoking	10701
109295	Bella	10101
111216	Kaiziel	10101
188166	Thankmar	10002
158992	Quank	10002
128777	Woopernuts	10101
111275	Jillzy	10101
723451	Sikwati	10002
326338	MajorPain	10002
486309	Snap	10101
109110	makOi	10201
114506	JOULES	10101
110891	Tomoe	10201
291099	AMG	10101
613018	Futand	10101
176195	Warps	10101
107904	Law	10101
506198	CxPoseidon	10701
109392	Guts	10601
791455	Yona	10101
110107	Irishgiant	10101
229412	RisingSun	10101
269061	Noobles	10601
140788	Oasis	10101
108131	Fap	10601
111565	Vaccaria	10201
437101	Sunrise	10102
472890	Draklios	10701
110398	Janda0Muda	10201
299356	Zhantis	10901
334170	Reigs	10901
111518	Heisenberg	10201
919072	FzL	10201
108730	Flexual	10002
109081	Taffy	10601
305141	Itsaso	10101
145309	Cary	10101
170911	Rhux	10101
433043	DaBurninator	10901
216015	CarameL	10201
415095	Blaeon	10002
339781	Xscoobyx	10101
213247	Miyuki	10002
184085	Kaitlin	10101
110458	Wozzum	10002
251914	Hunterzzz	10002
151684	Riviera	10901
308353	Poyo	10002
304911	Alueredus	10002
110092	Krustarol	10601
131526	Dabers	10101
113683	Joellama	10101
194510	Bukake	10002
453104	Ronin	10102
338139	HARDWELL	10101
108107	Sparrow	10601
147484	MobinHood	10101
241858	Predominent	10101
832557	etanXhunts	10201
108835	Player	10201
580840	Raven22	10102
200053	Fanel	10002
268741	howboutdat	10002
257285	RockLord	10101
294503	Maschenny	10201
109616	Scarlet	10601
109417	BrOb	10901
113509	Ace	10901
115494	elfenia	10201
169111	Magistro	10101
190149	Chipitoo	10901
465572	Kei	10102
607079	Proficient	10901
157790	Orb	10201
561215	Freaken	10102
304470	Hasselblad	10201
108170	Mercyful	10601
405832	ManDaCieLoS	10701
117059	KhanDozer	10601
129658	Dang	10901
109286	Germ	10101
434888	Vengner	10701
152010	Fireenn	10901
107977	qtpie	10101
551002	Trump	10102
110624	SparQ	10201
351591	Foolyman	10101
397575	TakeNotes	10101
109113	UstreL	10201
901133	NYTSENTINEL	10201
438889	Frappuccino	10102
108162	Xtina	10601
109425	Molls	10901
294110	iBozz	10901
121567	KingLudy	10101
284124	Seijen	10901
352177	Verdant	10901
327116	Willian	10901
679314	spring	10102
116702	IcuBlinK	10101
724853	HealingNurse	10201
794025	TitiSr	10002
226676	Nastarth	10601
122850	Heeh	10101
473276	yassof	10201
113634	Phozhu	10101
228914	Emiya	10901
352412	Kinne	10101
300274	trunkskira	10201
113052	Astro	10901
277202	Kiliza	10901
250087	Obituary	10901
217674	Minimillian	10901
487011	Olsteve	10901
107814	Danka	10901
128101	Zoheir	10101
115681	Bleed4Titten	10601
150022	Kirsi	10002
409770	Abbys	10201
467840	CapnBen67	10901
335094	Foreseen	10101
711460	Veronwe	10101
197559	CarolinE	10901
114588	Splid0w	10101
107854	Sasha	10901
111178	Crimson	10901
160411	Walkzinblood	10901
862847	Talee	10002
117615	Elarie	10901
108791	Ranran	10002
186301	EvilMage	10101
108825	Zie	10201
493667	LSSJG	10101
391599	PyroKnight	10101
138352	Magus	10101
142857	GTRAWR	10101
847967	Vengeance	10201
356970	StonedEveryd	10901
109431	Michael	10901
500309	Razukae	10102
438871	Nestea	10102
119463	Arutoria	10101
190932	skyguo	10101
109507	Yoona	10201
387687	Strages	10901
109203	Chili	10101
113548	Horofan	10901
187487	Scrives	10101
450051	RavenXeziriq	10102
141234	Jonarino	10901
617625	Vin0	10102
141321	Gump	10101
120138	Kigga	10101
112522	Iost	10901
656545	SIayer	10901
174229	Strauus	10901
467628	Jarlaxle	10102
170996	AceXecA	10101
113576	Wilphor	10901
122602	NaughtyNurse	10901
147181	jessieeeeeee	10101
452165	Dulcet	10102
146669	FosunKing	10101
179487	WarLow	10101
202692	KevCai	10101
753490	Miriael	10101
497938	Oak	10102
127030	Gerz	10901
139510	Zinc	10201
182576	Stimulation	10901
110988	Punktus	10601
109200	cibA	10201
110275	Ayden	10901
367268	Samsun	10901
112605	Nephi	10101
355842	Glorious	10002
478983	nosoyash	10102
146783	Dirtyjoke	10901
112552	Logic	10901
113667	Donflores1	10101
193278	Serpico	10901
109063	Jacke0	10601
113514	cls	10901
392194	IronGhost	10901
107839	Xaquira	10901
566544	Lehigh	10101
118697	Pearl	10101
204694	Ecliqtic	10901
621801	Tamarind	10102
514567	Firztaid	10901
107811	Farlith	10901
119486	Iago	10101
107965	DyNasti	10101
145378	Carena	10101
109668	Rom	10601
110259	Samqfd	10901
187763	Molara	10901
398659	Sivex	10101
109483	YAYO	10901
253203	Vexqa	10901
152037	DirtySanchez	10901
520784	VariableSA	10901
116749	Alastor	10101
119235	Cayla	10901
175028	Shmurf	10901
113026	Easy	10901
561657	Ifapalot	10901
112598	Winnah	10901
197971	Fyrefox	10901
497103	Ayala	10901
246394	Nataliya	10901
175377	Rosee	10901
110263	Skimask	10901
115266	Lunia	10901
110730	Goverdina	10601
114306	Majeh	10601
108139	Stan	10601
201074	corgibutt	10901
224641	Jav	10002
125667	Lanfear	10901
113582	Idranium	10901
386229	RiskyX	10901
175159	Rakshas	10901
114954	Garyth	10901
110577	BubbleoSeven	10601
116012	Dolph	10901
256445	Evanz08	10901
125547	Lynx	10901
274583	SKULLCRUSHR	10901
265322	SMS	10901
113767	IFYaummiddin	10201
219369	Merci	10901
110156	Delphina	10101
722121	Zucca	10102
281323	RoyaIty	10901
138334	Lizzie	10101
111164	Beezsta	10901
194046	Ouija	10901
177760	Rea	10901
559340	dressy	10102
437651	Fullzee	10701
279445	iSoul	10901
141431	Anthraxis	10901
109408	JoeL	10901
410699	Qudsi	10701
234507	CappuX	10601
110526	FaceCoL	10601
193610	DangeRuss	10101
821138	Idrian	10701
111601	Zargon	10601
365012	Helpmeplox	10101
609729	Shenfu	10101
109254	Shadow	10101
343275	Truffles	10002
443985	Satch	10101
116080	Kraken	10901
310193	Zebi	10601
193674	FanBuFan	10101
347906	Delaris	10901
202715	ninjutsu	10201
109064	Autumn	10601
455304	Saintchariz	10102
376837	Lisali	10601
109032	Sez	10601
112056	IMBA	10201
467207	Raizen	10701
110022	Oblongata	10601
254788	Onilla	10901
